frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
890,6.327482000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
891,6.327664000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
892,6.327699000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
893,6.327757000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
894,6.327787000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
895,6.327827000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
896,6.327855000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
897,6.327907000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
898,6.327937000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
899,6.327992000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
